id,experience_id,"title","description","link_to_website"
114,4,"test guide","test guide",NULL
614,63,"Manufacturing Week Educator Toolkit","This toolkit is a working document that outlines how to use these resources to design a Manufacturing Week event that meets your classrooms invidual needs, connect students with employers who need a skilled workforce, and connects the dots for students how to get careers in these great companies now or after graduation.","https://docs.google.com/document/d/1nznijrPYLe5H0LjbWVkub1tKoMTPpT6g6nt6roBbmuA/edit?usp=sharing"
645,66,"Manufacturing Week: Toolkit for Educators","Toolkit to use during the week","https://docs.google.com/document/d/1nznijrPYLe5H0LjbWVkub1tKoMTPpT6g6nt6roBbmuA/edit"
651,68,"Manufacturing Week Toolkit for Educators","This is a toolkit with instructions for educators along with activities to accompany successful Manufacturing Week implementation.","https://docs.google.com/document/d/1nznijrPYLe5H0LjbWVkub1tKoMTPpT6g6nt6roBbmuA/edit?usp=sharing"
653,69,"Manufacturing Week Toolkit for Educators","This toolkit is designed to provide educators instructions on how to complete a successful Manufacturing Week along with activities for students.","https://docs.google.com/document/d/1nznijrPYLe5H0LjbWVkub1tKoMTPpT6g6nt6roBbmuA/edit?usp=sharing"
654,67,"Manufacturing Week Toolkit for Educators","This toolkit is designed to provide instructions for educators how to implement a successful Manufacturing Week along with activities to deepen your students learning.","https://docs.google.com/document/d/1nznijrPYLe5H0LjbWVkub1tKoMTPpT6g6nt6roBbmuA/edit?usp=sharing"
976,92,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
977,93,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
978,94,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
979,95,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
980,96,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
981,97,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
982,98,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
983,99,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
984,100,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
985,101,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
986,102,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
987,103,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
988,104,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
989,105,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
990,106,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
991,107,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
992,108,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
993,109,"Virtual Visit ZOOM link",NULL,"https://sdstate.zoom.us/j/93166313014"
1028,119,"Zoom Link","Link to the Zoom Career Fair- Attorneys presentation","https://us02web.zoom.us/j/84612554601?pwd=N2ljdnBFdVNaNkttL1hiUXNoY0hyZz09"
1229,191,"Schedule a Campus Visit","Tour UW-Stout! Meet with an admissions counselor and take a guided walking tour.","http://www.uwstout.edu/visit"
1314,221,"Schedule A Virtual Visit","Meet with an Admissions Officer","https://mankato.mnsu.edu/future-students/undergraduate/visit-campus/virtual-visits-and-tours/schedule-a-virtual-visit/"
1499,269,"Rice Companies Website",NULL,"http://www.ricecompanies.com"
1614,297,"BCC CTE Exploration Day","",NULL
1615,298,"BCC CTE Exploration Day","",NULL
